"","user_id","sex","age","resident","kirby1","kirby2","kirby3","kirby4","kirby5","kirby6","kirby7","kirby8","kirby9"
"1",8,0.5,26.0011255081964,"CA",0,0,0,0,0,0,0,1,1
"2",233,-0.5,23.9742333437901,"GB",0,0,0,0,0,0,0,1,1
"3",426,0.5,24.0082036035288,"GB",1,1,1,1,1,1,1,1,1
"4",881,0.5,25.355690573162,"US",0,0,0,1,1,1,1,1,1
"5",1605,-0.5,26.2728875861057,"ES",NA,0,0,0,1,NA,1,NA,1
"6",1646,0.5,26.5220028241891,"ES",0,0,0,0,0,0,0,1,1
"7",1895,-0.5,25.3896608329007,"CA",0,0,0,0,1,1,1,1,1
"8",3301,-0.5,23.9742333437901,"DE",0,0,0,1,0,1,1,1,1
"9",3321,-0.5,25.2424563740332,"DE",0,0,0,0,1,1,1,1,1
"10",3630,0.5,26.0124489281093,"GB",0,0,0,1,1,1,1,1,1
"11",4651,-0.5,24.8234898372564,"DE",0,0,0,0,1,1,1,1,1
"12",4676,-0.5,25.2764266337718,"DE",0,0,0,0,1,1,1,1,1
"13",4891,-0.5,24.6309916987374,"DE",0,0,0,0,0,0,0,1,1
"14",6093,0.5,26.7371478025339,"US",0,0,0,0,0,1,1,1,1
"15",6172,-0.5,23.9402630840515,"GB",0,0,0,0,0,0,1,1,1
"16",6185,-0.5,23.793058625184,"GB",0,0,0,0,0,0,0,0,0
"17",6665,-0.5,23.883645984487,"US",0,0,0,0,1,1,1,1,1
"18",6807,-0.5,23.9402630840515,"GB",0,0,0,1,0,1,1,1,1
"19",7314,-0.5,23.883645984487,"GB",1,1,1,1,1,1,1,1,1
"20",7446,-0.5,25.3783374129878,"US",0,0,0,0,0,0,0,1,1
"21",7727,0.5,25.0952519151657,"US",0,0,0,0,0,0,0,1,1
"22",7861,0.5,24.5290809195215,"US",0,0,0,0,0,1,1,1,1
"23",8469,-0.5,24.1667314823092,"US",0,0,0,0,0,0,0,1,1
"24",9292,0.5,24.676285378389,"US",0,0,0,0,0,1,1,1,1
"25",9480,0.5,23.7137946857938,"US",0,0,0,0,0,1,1,1,1
"26",9634,0.5,24.4611404000441,"AU",1,1,1,1,1,1,1,1,1
"27",9816,-0.5,23.6345307464036,"HK",0,0,0,1,0,1,1,1,1
"28",9860,-0.5,25.7067165904614,"GB",0,0,0,0,0,1,1,1,1
"29",9881,-0.5,24.8461366770822,"US",0,0,0,0,0,0,0,1,1
"30",10054,0.5,24.1440846424834,"CA",0,0,0,0,0,1,1,1,1
"31",11112,0.5,23.8157054650097,"FI",0,0,0,1,0,1,1,1,1
"32",11262,-0.5,23.793058625184,"AU",0,0,0,0,1,1,1,1,1
"33",11345,0.5,24.1327612225705,"US",0,0,0,0,1,1,1,1,1
"34",11395,-0.5,24.6989322182147,"GB",0,0,0,1,1,0,1,1,1
"35",13337,0.5,24.9140771965595,"BE",0,0,0,0,0,0,0,1,1
"36",14000,-0.5,23.985556763703,"US",0,0,0,0,0,1,1,1,1
"37",15802,0.5,25.1178987549914,"FR",0,0,0,0,0,0,0,1,1
"38",15975,0.5,25.2651032138589,"US",0,0,0,0,0,0,0,1,1
"39",15992,0.5,24.6989322182147,"AT",0,0,0,0,0,0,0,1,1
"40",17459,0.5,23.204240789714,"SE",0,0,0,1,0,1,1,1,1
"41",17577,0.5,26.8164117419241,"GB",0,0,1,1,1,1,1,1,1
"42",19114,0.5,23.6345307464036,"US",0,0,0,0,0,1,1,1,1
"43",19833,-0.5,24.6989322182147,"US",0,0,0,1,1,1,1,1,1
"44",20078,0.5,28.3790436899022,"US",0,0,0,0,0,1,1,1,1
"45",21208,-0.5,24.0761441230061,"DE",0,0,0,0,0,1,1,1,1
"46",21504,-0.5,23.6458541663165,"DE",0,0,0,0,0,1,0,0,0
"47",22306,0.5,23.6345307464036,"US",0,0,0,0,0,1,1,1,1
"48",22722,0.5,24.3252593610895,"US",0,0,0,1,1,1,1,1,1
"49",22979,0.5,26.5446496640149,"CA",0,0,0,0,0,1,1,1,1
"50",23030,0.5,24.0648207030932,"AU",0,0,0,0,0,0,1,1,1
"51",23912,0.5,25.3330437333363,"PL",0,0,0,0,0,0,0,1,1
"52",24554,0.5,26.4880325644505,"GB",0,0,0,0,0,0,0,1,1
"53",25383,-0.5,23.3740920884072,"CA",1,1,1,1,1,1,1,1,1
"54",26082,0.5,24.1554080623963,"GB",1,1,1,1,1,1,1,1,1
"55",26579,-0.5,23.883645984487,"US",0,0,0,1,1,1,1,1,1
"56",27002,0.5,25.2311329541203,"US",0,0,0,0,0,1,1,1,1
"57",29506,-0.5,24.3139359411766,"PL",0,0,0,0,0,1,1,1,1
"58",29907,-0.5,23.9968801836159,"GB",0,0,0,1,1,1,1,1,1
"59",30307,-0.5,24.6423151186503,"NL",0,0,0,0,0,0,0,1,1
"60",30834,0.5,24.8574600969951,"DE",0,0,0,0,0,0,0,1,1
"61",30988,-0.5,23.8949694043999,"US",0,0,0,0,0,1,1,1,1
"62",30993,-0.5,23.8157054650097,"US",0,0,0,1,0,1,1,1,1
"63",31358,0.5,23.5779136468392,"US",0,0,0,0,0,0,0,1,1
"64",31997,-0.5,24.574374599173,"SE",0,0,0,0,0,1,1,1,1
"65",32013,0.5,23.6685010061422,"MX",0,0,0,0,0,0,1,1,1
"66",32477,0.5,23.6005604866649,"FR",0,0,0,0,0,1,1,1,1
"67",32789,-0.5,23.5779136468392,"DE",0,0,0,1,0,0,1,1,1
"68",33329,-0.5,26.0350957679351,"US",0,0,0,0,0,0,0,0,1
"69",33839,-0.5,23.4307091879717,"DE",0,0,0,1,0,1,1,1,1
"70",33850,-0.5,23.5552668070134,"US",0,0,0,0,0,0,0,0,1
"71",34180,-0.5,24.4384935602184,"US",0,0,0,0,0,1,1,1,1
"72",34310,-0.5,23.8157054650097,"US",0,0,0,1,1,1,1,1,1
"73",34671,-0.5,24.5517277593472,"FI",0,0,0,0,0,0,0,0,1
"74",34868,-0.5,24.2912891013509,"FR",0,0,0,0,0,1,1,1,1
"75",34984,-0.5,26.2275939064541,"US",0,0,0,0,0,0,0,0,1
"76",34985,-0.5,23.883645984487,"US",0,0,0,0,0,1,1,1,1
"77",35028,-0.5,26.9749396207045,"GB",0,0,0,1,1,1,1,1,1
"78",35191,0.5,24.2686422615251,"US",0,1,1,1,1,1,1,1,1
"79",35463,-0.5,25.0386348156013,"GB",0,0,0,0,0,0,1,1,1
"80",35768,-0.5,24.9933411359497,"GB",0,0,0,0,0,1,1,1,1
"81",36009,0.5,26.4993559843633,"US",0,0,0,0,0,1,1,1,1
"82",36248,0.5,23.8270288849226,"EE",0,0,0,0,1,0,1,1,1
"83",36355,-0.5,23.6005604866649,"US",0,0,0,0,0,0,0,1,1
"84",36558,-0.5,23.6232073264907,"US",0,0,0,1,0,1,1,1,1
"85",37302,-0.5,26.1143597073253,"GB",0,0,0,0,0,0,0,1,1
"86",37315,-0.5,24.1893783221349,"GB",0,0,0,0,0,0,0,1,1
"87",37319,-0.5,24.178054902222,"US",0,0,0,0,0,0,1,1,1
"88",37354,-0.5,28.1186050319058,"US",0,0,0,1,1,1,1,1,1
"89",37360,0.5,25.457601352378,"US",0,0,0,0,0,0,0,0,1
"90",37361,-0.5,23.9629099238772,"DE",0,0,0,0,0,1,1,1,1
"91",37367,0.5,29.8850585383158,"US",0,0,0,0,1,1,1,1,1
"92",37381,-0.5,25.944508408632,"GB",0,0,0,0,0,1,1,1,1
"93",37384,0.5,27.6543448154776,"US",0,0,0,1,1,1,1,1,1
"94",37387,-0.5,24.0761441230061,"US",0,0,0,1,0,1,0,1,1
"95",37393,-0.5,23.4533560277974,"US",0,0,0,0,0,1,0,1,1
"96",37395,-0.5,23.9742333437901,"GB",0,0,0,0,0,1,1,1,1
"97",37398,-0.5,25.944508408632,"US",0,0,0,1,1,1,1,1,1
"98",37404,-0.5,24.4837872398699,"CA",0,0,0,0,0,1,1,1,1
"99",37427,0.5,23.7024712658809,"US",0,0,0,0,0,0,1,1,1
"100",37429,-0.5,23.589237066752,"US",0,0,0,0,0,1,1,1,1
"101",37430,0.5,23.3174749888428,"SG",0,0,0,0,0,0,0,1,0
"102",37434,-0.5,23.9629099238772,"RU",0,0,0,0,0,0,0,0,0
"103",37449,-0.5,24.9593708762111,"US",0,0,0,0,0,1,1,1,1
"104",37491,-0.5,23.5439433871005,"US",0,1,0,1,1,1,1,1,1
"105",37509,-0.5,23.5665902269263,"US",0,0,0,1,0,1,0,1,1
"106",37522,0.5,29.2056533435427,"AF",0,0,0,1,0,1,0,1,1
"107",37527,0.5,24.9820177160368,"AT",0,0,0,0,0,1,1,1,1
"108",37528,-0.5,23.7251181057067,"GB",0,0,0,0,0,0,0,1,1
"109",37533,0.5,24.7215790580405,"US",0,0,0,0,0,0,1,1,1
"110",37548,-0.5,26.6918541228824,"AU",0,0,0,0,0,1,1,1,1
"111",37558,-0.5,23.8609991446613,"GB",0,0,0,0,0,1,1,1,1
"112",37567,-0.5,23.7817352052711,"CA",0,0,0,0,0,1,1,1,1
"113",37574,0.5,23.5212965472747,"FR",0,0,0,0,0,0,1,1,1
"114",37576,0.5,23.5552668070134,"DE",0,0,0,0,0,0,0,1,1
"115",37579,0.5,26.2615641661928,"US",0,0,0,0,0,1,1,1,1
"116",37582,0.5,23.5779136468392,"US",0,0,0,0,0,1,0,1,1
"117",37592,0.5,23.6232073264907,"US",0,0,0,0,0,1,1,1,1
"118",37596,-0.5,23.498649707449,"US",0,0,0,0,0,0,0,1,1
"119",37600,-0.5,23.6118839065778,"US",0,0,0,1,0,1,1,1,1
"120",37652,0.5,24.676285378389,"SE",0,0,0,0,1,1,1,1,1
"121",37673,-0.5,23.6118839065778,"US",0,0,0,0,0,0,0,1,1
"122",37677,-0.5,24.0082036035288,"US",0,0,0,0,0,1,1,1,1
"123",37679,0.5,25.4236310926393,"US",0,0,0,1,0,1,1,1,1
"124",37686,-0.5,23.204240789714,"SG",0,0,0,1,0,1,0,1,1
"125",37714,-0.5,23.8609991446613,"US",0,0,0,0,0,0,0,1,1
"126",37716,-0.5,26.0917128674995,"JP",0,0,0,0,0,1,1,1,1
"127",37719,-0.5,28.1865455513831,"CA",1,0,0,1,1,1,1,1,1
"128",37733,-0.5,24.4384935602184,"DE",0,0,0,1,0,1,1,1,1
"129",37755,-0.5,23.7024712658809,"DE",0,0,0,0,0,1,1,1,1
"130",37758,0.5,26.9636162007916,"ZA",0,0,0,0,0,0,1,1,1
"131",37759,-0.5,24.1327612225705,"US",0,0,0,0,1,0,1,1,1
"132",37765,0.5,25.1178987549914,"GB",0,0,0,1,1,1,1,1,1
"133",37772,0.5,26.4993559843633,"US",0,0,0,0,0,1,1,1,1
"134",37774,-0.5,24.5630511792601,"IL",0,0,0,0,0,0,1,1,1
"135",37775,0.5,24.2686422615251,"CA",0,0,0,0,0,0,0,0,1
"136",37785,-0.5,23.9629099238772,"US",0,0,0,0,0,0,1,1,1
"137",37787,0.5,24.6989322182147,"US",0,0,0,0,0,1,0,1,1
"138",37795,0.5,23.9402630840515,"FR",0,0,0,0,1,1,1,1,1
"139",37802,0.5,23.9176162442257,"BE",0,1,1,0,1,1,0,0,0
"140",37803,-0.5,25.3896608329007,"US",0,0,1,0,0,1,1,1,1
"141",37809,0.5,24.574374599173,"CA",0,0,0,0,0,1,1,1,1
"142",37814,-0.5,24.1440846424834,"GB",0,0,0,0,0,1,0,1,1
"143",37818,-0.5,26.7484712224468,"GB",0,0,0,0,1,1,1,0,1
"144",37819,-0.5,25.5821589714197,"TR",0,1,0,0,0,0,0,0,0
"145",37833,-0.5,25.9218615688062,"US",0,0,0,0,0,0,0,0,0
"146",37839,-0.5,23.6458541663165,"CA",0,0,0,0,0,0,0,1,0
"147",37840,-0.5,23.8043820450968,"GB",0,0,0,0,0,1,1,1,1
"148",37848,-0.5,23.6232073264907,"US",1,1,1,1,1,1,1,1,1
"149",37852,-0.5,23.7364415256195,"US",0,0,0,0,0,0,0,0,0
"150",37861,-0.5,24.472463819957,"US",0,0,0,1,1,1,1,1,1
"151",37862,-0.5,23.589237066752,"US",0,0,0,0,0,0,0,1,1
"152",37872,-0.5,24.0648207030932,"US",0,0,0,0,0,1,1,1,1
"153",37880,-0.5,25.8199507895903,"US",0,0,0,1,0,1,1,1,1
"154",37884,0.5,23.5326199671876,"YU",0,0,0,1,0,1,1,1,1
"155",37897,0.5,25.2877500536847,"NL",0,0,0,0,0,1,1,1,1
"156",37917,0.5,NA,"GB",0,0,0,0,0,1,1,1,1
"157",37923,-0.5,24.0082036035288,"US",0,0,0,0,1,1,1,1,1
"158",37928,-0.5,23.3627686684944,"US",0,0,0,0,0,1,0,1,1
"159",37930,-0.5,23.4080623481459,"DE",0,0,0,0,0,0,0,1,1
"160",37954,-0.5,23.5099731273619,"US",0,0,0,0,0,1,0,1,1
"161",37962,0.5,24.1893783221349,"US",0,0,0,0,0,0,0,1,1
"162",37963,0.5,25.457601352378,"US",0,0,0,0,0,0,0,0,0
"163",37968,-0.5,24.2686422615251,"AU",0,0,0,0,0,1,1,1,1
"164",37971,-0.5,23.7251181057067,"CA",0,0,0,0,0,1,0,1,1
"165",37975,-0.5,24.8234898372564,"SG",0,0,0,0,0,1,1,1,1
"166",37983,-0.5,27.0542035600947,"GB",0,0,0,1,0,1,1,1,1
"167",38001,0.5,23.7364415256195,"GB",0,1,1,1,1,1,1,1,1
"168",38005,0.5,25.6614229108099,"GB",0,0,0,1,0,1,1,1,1
"169",38010,-0.5,23.2721813091913,"SE",0,1,0,0,1,0,1,0,1
"170",38017,0.5,24.472463819957,"DE",0,0,0,0,0,1,1,1,1
"171",38039,0.5,23.204240789714,"SE",0,0,0,0,0,0,0,1,1
"172",38047,-0.5,25.8765678891547,"DE",0,0,0,1,1,1,1,1,1
"173",38061,0.5,24.6309916987374,"IE",0,0,0,0,0,0,0,1,1
"174",38063,-0.5,23.5439433871005,"CA",0,1,0,1,1,1,1,1,1
"175",38071,-0.5,23.9968801836159,"CA",0,0,0,0,0,1,1,1,1
"176",38073,0.5,24.3139359411766,"AU",0,0,0,0,0,0,0,0,0
"177",38103,-0.5,24.5290809195215,"CH",0,0,0,1,1,1,1,1,1
"178",38109,-0.5,23.3061515689299,"EE",0,0,0,0,0,0,0,1,1
"179",38112,-0.5,24.7555493177791,"GB",0,0,0,0,0,1,1,1,1
"180",38138,-0.5,23.2721813091913,"DE",0,0,0,0,0,1,1,1,1
"181",38146,-0.5,25.2651032138589,"DE",0,0,0,0,0,1,1,1,1
"182",38149,-0.5,23.6798244260551,"DE",0,0,0,0,0,0,0,1,1
"183",38159,-0.5,24.087467542919,"DE",0,0,0,1,1,1,1,1,1
"184",38162,-0.5,24.0534972831803,"GB",0,0,0,1,1,0,1,1,1
"185",38164,-0.5,24.6196682788245,"DE",0,0,0,0,0,1,1,1,1
"186",38165,0.5,25.2651032138589,"NL",0,0,0,0,0,0,0,0,1
"187",38179,-0.5,25.8312742095032,"CA",0,0,0,0,0,1,1,1,1
"188",38190,0.5,23.2268876295397,"US",1,0,0,1,0,0,1,1,1
"189",38198,0.5,26.046419187848,"US",0,0,0,0,0,0,0,1,1
"190",38200,-0.5,24.4045233004797,"CA",0,0,0,0,0,1,1,1,1
"191",38201,-0.5,23.4307091879717,"US",0,0,0,0,0,0,0,0,1
"192",38211,-0.5,23.9062928243128,"US",0,0,0,0,1,1,1,1,1
"193",38212,-0.5,24.4498169801313,"US",0,0,0,0,0,0,0,1,1
"194",38223,-0.5,23.9062928243128,"CA",0,0,0,0,0,1,1,1,1
"195",38239,-0.5,24.5970214389988,"US",0,0,0,1,0,1,1,1,1
"196",38241,0.5,23.9629099238772,"IT",0,0,0,0,0,1,1,1,1
"197",38256,-0.5,23.8496757247484,"US",0,0,0,0,0,0,0,0,0
"198",38271,-0.5,25.1858392744688,"DE",0,0,0,0,0,0,1,1,1
"199",38293,0.5,23.9289396641386,"GB",0,0,0,0,0,0,0,1,1
"200",38294,0.5,24.178054902222,"US",0,0,0,1,1,1,1,1,1
"201",38299,-0.5,24.4384935602184,"US",0,0,0,0,0,0,1,1,1
"202",38305,-0.5,24.1440846424834,"US",0,0,0,0,0,1,1,1,1
"203",38310,-0.5,23.6005604866649,"GB",0,0,0,0,0,1,1,1,1
"204",38324,-0.5,24.0421738632674,"US",0,0,0,0,0,1,1,1,1
"205",38326,-0.5,23.6458541663165,"US",0,0,0,0,0,0,1,1,1
"206",38335,-0.5,23.8157054650097,"US",0,0,0,0,0,1,1,1,1
"207",38338,0.5,23.9629099238772,"US",0,0,0,0,0,0,1,1,1
"208",38339,0.5,24.1440846424834,"AR",0,0,0,0,0,1,1,1,1
"209",38342,-0.5,24.1554080623963,"CA",0,0,0,0,0,1,1,1,1
"210",38349,0.5,25.9105381488934,"IN",0,0,0,0,0,1,1,1,1
"211",38357,0.5,23.6345307464036,"DE",NA,NA,NA,NA,NA,0,NA,NA,NA
"212",38362,-0.5,24.6423151186503,"DE",0,0,0,0,0,1,1,1,1
"213",38363,-0.5,24.0308504433545,"US",0,0,0,0,0,0,0,1,1
"214",38374,-0.5,23.4307091879717,"GB",0,0,0,0,0,0,0,1,1
"215",38379,-0.5,23.8383523048355,"GB",0,0,0,1,0,0,1,1,1
"216",38382,-0.5,25.0839284952528,"GB",0,0,0,0,1,1,1,1,1
"217",38397,-0.5,25.9331849887191,"GB",0,0,0,0,0,1,1,1,1
"218",38408,0.5,23.9402630840515,"US",0,0,0,0,0,1,1,1,1
"219",38423,-0.5,23.9176162442257,"US",0,0,0,0,0,1,1,1,1
"220",38425,-0.5,23.7590883654453,"US",0,0,0,1,0,1,1,1,1
"221",38434,-0.5,23.4760028676232,"SE",0,0,0,0,1,0,1,1,1
"222",38438,-0.5,23.9968801836159,"US",0,0,0,0,0,0,1,1,1
"223",38443,0.5,23.4873262875361,"US",0,1,1,1,1,0,1,0,1
"224",38446,-0.5,24.0082036035288,"US",0,0,0,1,1,1,0,1,1
"225",38447,-0.5,23.4420326078846,"US",0,0,0,0,0,0,0,0,0
"226",38451,0.5,24.0987909628318,"US",0,0,0,0,0,0,0,1,1
"227",38459,-0.5,24.2120251619607,"US",0,0,0,0,0,0,1,1,1
"228",38461,-0.5,24.5064340796957,"CA",0,0,0,0,0,1,1,1,1
"229",38466,-0.5,24.7329024779534,"US",0,0,0,0,0,0,0,1,1
"230",38470,-0.5,23.7817352052711,"AU",0,0,0,0,0,0,0,1,1
"231",38472,0.5,23.4646794477103,"AU",0,0,0,0,0,1,1,1,1
"232",38484,-0.5,24.1440846424834,"US",0,0,0,0,0,0,0,1,1
"233",38485,-0.5,25.0952519151657,"GB",0,0,0,0,0,1,0,1,1
"234",38493,-0.5,25.5142184519424,"AU",0,0,0,0,0,0,0,0,0
"235",38518,-0.5,24.6309916987374,"GB",0,0,0,0,0,0,0,0,1
"236",38523,-0.5,24.6536385385632,"US",0,0,0,0,1,1,1,1,1
"237",38533,-0.5,23.7590883654453,"US",0,0,0,0,0,1,1,1,1
"238",38556,0.5,25.9331849887191,"US",0,0,0,0,0,0,1,1,1
"239",38558,0.5,23.985556763703,"NO",0,1,0,0,1,1,0,1,1
"240",38580,0.5,24.5064340796957,"GB",0,0,0,0,0,1,1,1,1
"241",38601,-0.5,26.5786199237535,"GB",0,0,0,1,1,1,1,1,1
"242",38608,-0.5,23.6571775862294,"US",0,0,0,1,1,1,1,1,1
"243",38610,0.5,23.985556763703,"US",0,0,0,0,0,1,0,1,1
"244",38627,-0.5,23.396738928233,"US",0,0,0,0,0,0,0,1,1
"245",38637,-0.5,26.8956756813143,"IE",0,0,0,0,0,1,0,1,1
"246",38645,-0.5,23.691147845968,"US",0,0,0,1,0,0,1,1,1
"247",38651,0.5,24.6083448589116,"NO",0,0,0,0,1,1,1,1,1
"248",38671,-0.5,23.793058625184,"GB",0,0,0,0,0,0,0,1,1
"249",38674,-0.5,26.6692072830566,"CA",0,0,0,0,0,0,0,1,1
"250",38681,-0.5,23.8949694043999,"US",0,0,0,0,1,1,1,1,1
"251",38684,0.5,25.2764266337718,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",38685,-0.5,23.8609991446613,"GB",0,0,0,1,1,1,1,1,1
"253",38692,0.5,24.0308504433545,"CA",0,0,0,0,0,1,1,1,1
"254",38697,0.5,24.3592296208282,"US",0,0,0,1,1,1,1,1,1
"255",38718,-0.5,24.3592296208282,"US",0,0,0,0,0,1,1,1,1
"256",38728,-0.5,23.9062928243128,"US",0,0,0,1,0,1,1,1,1
"257",38738,0.5,24.087467542919,"GB",0,0,0,0,0,0,0,0,0
"258",38756,0.5,23.883645984487,"US",0,0,0,0,0,1,1,1,1
"259",38768,-0.5,23.7364415256195,"CA",0,0,0,1,0,0,1,1,1
"260",38789,-0.5,24.3592296208282,"GB",0,0,0,0,0,1,1,1,1
