question,iv_answer,dv_answer,iv_type,dv_type,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,qid,test
Students get higher grades on an exam if they live on campus.,Living Conditions,Exam Grade,Categorical,Continuous,Exposure to Lecturers,Number of Lectures Attended,Distance to Lecture Theatre,Learning,Pass vs. Fail,Students,2,Independent-samples t-test
Football players have more injuries than Boxers.,Type of Sport,Number of Injuries,Categorical,Continuous,Physical Activity,Number of Concussions,Boxers,Level of Fitness,Injury vs. No Injuries,Atheletes,3,Independent-samples t-test
Sea lions will do more tricks when there are more people in the audience.,Number of People in Audience,Number of Tricks,Continuous,Continuous,Bystander Effects,Cheering vs. No Cheering,25 Audience Members,Number of Trainers,Type of Tricks,Sea Lions,4,Correlation
Elephants will spend more time outside when there are less park visitors.,Number of Park Visitors,Time Spent Outside,Continuous,Continuous,Park Opening Hours,Visitors vs. No Visitors,Hours,Shyness,Sunlight vs. No Sunlight,Elephants,5,Correlation
Students are more likely to pass an exam the more time they spend studying.,Time Spent Studying,Pass vs. Fail Exam,Continuous,Categorical,Time Spent Procrastinating,Study vs. No Study,Hours,Stress,Number of Correct Answers,Students,6,Logistic regression
People who read are more likely to wear glasses than people who do not read.,People who Read vs. People who don't Read,Wears Glasses vs. Does not Wear Glasses,Categorical,Categorical,Reading Speed,Time Spent Reading,Hours,Poor Eyesight,Time Wearing Glasses,People,7,Chi-square test of independence
Koalas sleep more in the winter than the summer.,Season,Time Spent Sleeping,Categorical,Continuous,Month,Temperature,Winter,Level of Activity,Sleep vs. No Sleep,Koalas,8,Paired-samples t-test
"After a meal, people are more sleepy (measured on a 0 to 100 scale) compared to before the meal.",Before vs. After Meal,Sleepiness,Categorical,Continuous,Sugar Levels,Level of Hunger,Dinner,Level of Activity,Sleep vs. No Sleep,People,9,Paired-samples t-test
People who own red cars drive faster compared to people who own blue cars.,Colour of Car,Driving Speed,Categorical,Continuous,Colour Perception,Brightness of Car Colour,Red Car,Acceleration,Fast vs. Slow Driving,People,11,Independent-samples t-test
Drummers are better at a multitasking task (measured in milliseconds) compared to guitarists.,Drummers vs. Guitarists,Score on Multitasking Task,Categorical,Continuous,Dexterity,Level of Skill,Drummers,Attention,Number of tasks,Musicians,12,Independent-samples t-test
Left-handers score higher on a creativity task (number of unique uses for a fork) compared to right-handers.,Handedness,Score on the Creativity Task,Categorical,Continuous,Physical Development,Level of dexterity,Left-handers,Intelligence,Highly Creative,Right-handers,13,Independent-samples t-test
First-born children score higher on an extraverion scale compared to second-born children.,Birth Order,Score on an Extraversion Scale,Categorical,Continuous,Brothers vs. Sisters,Age Difference,First-Born Child,Attention-Seeking,Attachment Style,Children,14,Independent-samples t-test
Older cheetahs will run further than younger cheetahs.,Age,Running Distance,Continuous,Continuous,Physical Development,Young Cheetahs vs. Old Cheetahs,Years,Running Speed,Long vs. Short Distance,Cheetahs,15,Independent-samples t-test
People who live closer to the equator will spend more time in the Sun.,Distance from the Equator,Time Spent in the Sun,Continuous,Continuous,Outdoor Temperature,Country of Residence,1000 miles,Amount of Sunshine,Indoors vs. Outdoors,People,19,Correlation
Crows will solve more puzzles the more time they are given to practice.,Practice Time,Number of Puzzles Solved,Continuous,Continuous,Tool Use,Previous Exposure to Puzzle,3 Hours,Intelligence,Puzzle Solved vs. Not Solved,Crows,20,Correlation
People's score on an attitudes towards healthy eating scale will predict the number of donuts a person eats.,Score on Attitudes Towards Healthy Eating Scale,Number of Donuts Eaten,Continuous,Continuous,Amount of Exercise,Positive Attitudes,5 Donuts,Self-Control,Time Spent Eating Donuts,People,21,Correlation
Students who score higher on a conscientiousness scale are more likely to spend more time studying.,Score on a Conscientiousness Scale,Time Spent Studying,Continuous,Continuous,Personality,High Conscientiousness vs. Low Conscientiousness,Neuroticism,Knowledge Acquisition,Study vs. No Study,Students,22,Correlation
