"ID","juggle","conscientiousness","romanticism","confident"
"1","(1) cannot juggle",22,19,19
"2","(1) cannot juggle",27,23,16
"3","(0) can juggle",22,21,21
"4","(1) cannot juggle",23,22,17
"5","(0) can juggle",24,22,20
"6","(0) can juggle",19,20,13
"7","(1) cannot juggle",16,23,24
"8","(0) can juggle",25,19,31
"9","(0) can juggle",21,27,17
"10","(1) cannot juggle",27,17,28
"11","(1) cannot juggle",17,24,23
"12","(1) cannot juggle",26,17,25
"13","(1) cannot juggle",11,11,16
"14","(1) cannot juggle",22,24,16
"15","(1) cannot juggle",25,20,17
"16","(1) cannot juggle",25,25,17
"17","(1) cannot juggle",20,13,27
"18","(0) can juggle",25,19,28
"19","(1) cannot juggle",25,21,16
"20","(0) can juggle",20,19,23
"21","(1) cannot juggle",11,19,11
"22","(0) can juggle",18,17,23
"23","(0) can juggle",17,24,17
"24","(1) cannot juggle",22,16,15
"25","(1) cannot juggle",23,26,18
"26","(1) cannot juggle",26,17,21
"27","(0) can juggle",21,13,24
"28","(0) can juggle",16,23,23
"29","(0) can juggle",19,25,28
"30","(1) cannot juggle",16,16,23
"31","(1) cannot juggle",22,23,22
"32","(0) can juggle",20,18,22
"33","(0) can juggle",16,15,15
"34","(0) can juggle",20,26,25
"35","(1) cannot juggle",14,20,17
"36","(1) cannot juggle",17,19,14
"37","(1) cannot juggle",20,22,26
"38","(0) can juggle",20,20,12
"39","(0) can juggle",22,19,20
"40","(0) can juggle",19,20,17
"41","(0) can juggle",10,17,22
"42","(0) can juggle",21,24,25
"43","(1) cannot juggle",21,28,24
"44","(1) cannot juggle",19,28,19
"45","(1) cannot juggle",19,19,24
"46","(0) can juggle",17,11,15
"47","(1) cannot juggle",20,19,23
"48","(1) cannot juggle",19,16,18
"49","(0) can juggle",22,23,20
