"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","video.games.exp","introversion2","introversion5","introversion7","introversion8","introversion10","pre.mood","post.mood","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","wayfinding1","wayfinding2","wayfinding3","wayfinding4","wayfinding5","wayfinding6","wayfinding7","wayfinding8","wayfinding9","wayfinding10","wayfinding11","wayfinding12","wayfinding13","wayfinding14","wayfinding15","wayfinding16","wayfinding17","wayfinding18","wayfinding19","wayfinding20","wayfinding21","wayfinding22","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time1","rotation_response1","rotation_time2","rotation_response2","rotation_time3","rotation_response3","rotation_time4","rotation_response4","rotation_time5","rotation_response5","ingroup1","ingroup2","ingroup3","ingroup4","outgroup1","outgroup2","outgroup3","outgroup4"
10932529,"Conversion MSc",4,3,95,"cat","koala",158,"Yes",1,2,2,2,2,3,58,100,6,6,6,6,7,2,3,3,2,2,1,1,1,1,4,2,5,4,4,3,5,5,4,5,5,4,3,2,2,4,3,5,3,4,2,3,5,3,4,3,2,4,5,2,3,7,6,6,6,4,6,1,7,7,2,4,3,1,1,1,7,7,1,0,5,0,0,4,3,4,4,2,4,2,3,4,3,4,4,4,2,3,4,3,3,3,4,4,2,3,4,3,4,2,3,2,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,3,2,1,1,10623.8,"Incorrect",10823.2,"Incorrect",8987.2,"Incorrect",22119.2,"Correct",26317.2,"Incorrect",4,5,5,5,5,5,4,5
13480526,"Health MSc",7,6,70,"dog","koala",152,"No",0,2,2,3,4,2,26,40,6,6,7,7,6,0,3,2,2,1,2,1,4,2,5,5,6,7,5,2,5,5,5,5,3,1,5,2,5,7,6,5,3,3,3,3,5,5,6,4,5,4,4,2,6,6,7,3,7,6,6,3,7,6,7,2,2,0,3,3,6,4,3,0,5,0,0,0,3,4,5,4,4,1,5,4,4,5,4,2,5,3,4,5,1,3,3,4,1,3,3,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,2,1,1,2,1,1,40011.7,"Correct",8701.7,"Incorrect",10995.6,"Correct",7481.4,"Correct",71198.8,"Incorrect",4,8,6,5,4,7,6,7
15516563,"Health MSc",7,5,70,"dog","wombat",166,"No",0,2,2,2,1,2,98,98,7,7,7,7,7,2,2,3,2,2,2,1,2,2,2,3,6,5,6,3,3,5,5,5,5,5,6,2,3,2,2,5,3,5,5,6,2,2,6,2,6,4,6,6,4,6,5,7,7,5,6,1,7,7,1,2,2,3,4,1,5,6,1,4,6,2,0,5,4,3,1,3,3,2,4,5,4,5,3,4,4,3,4,2,4,2,3,3,1,2,3,3,2,2,3,2,1,2,1,1,1,1,1,1,3,3,3,2,2,2,2,3,2,1,1,2,2,2,2,2438,"Correct",8807,"Incorrect",4687,"Incorrect",2988,"Incorrect",5453,"Incorrect",9,9,8,3,3,7,7,8
15556031,"Conversion MSc",1,5,65,"cat","koala",170,"Yes",18,2,2,4,3,1,39,42,1,1,3,1,1,2,3,3,3,2,2,2,1,1,4,4,6,5,5,3,5,5,5,2,3,6,6,4,5,6,5,6,5,5,3,6,6,6,3,2,4,4,4,6,0,7,4,5,7,4,4,1,4,4,1,5,2,2,5,1,5,4,1,0,2,0,0,0,4,2,3,3,2,1,2,5,1,5,1,1,4,1,5,3,2,3,4,2,2,5,4,1,3,1,1,1,1,3,1,4,1,1,1,4,3,1,3,3,2,1,2,5,1,1,4,4,1,1,1,19460.3,"Correct",73014.3,"Incorrect",7548.3,"Incorrect",7673.7,"Correct",8855.1,"Incorrect",4,5,4,6,3,3,6,5
19909991,"Other Research MSc",5,9,62,"dog","wombat",157.5,"Yes",5,3,4,5,5,5,30,44,6,7,7,6,7,4,4,4,4,4,4,3,5,4,5,4,3,5,2,1,1,1,2,7,7,6,6,7,6,7,7,5,2,3,2,5,5,4,6,0,1,3,3,4,5,6,4,6,7,4,2,1,5,4,5,2,3,1,3,1,2,4,2,1,4,0,0,4,5,5,5,4,5,4,5,5,3,5,4,5,4,4,5,5,3,2,5,4,5,5,4,2,1,1,1,2,1,1,2,1,1,1,1,4,3,5,4,3,1,1,4,3,2,2,3,5,1,1,5,2481.2,"Correct",3221.1,"Incorrect",2997.3,"Incorrect",2935.3,"Correct",5211.4,"Correct",7,7,5,6,5,6,7,6
20711418,"Health MSc",6,2,65,"cat","platypus",183,"Yes",4,1,2,3,2,3,70,77,7,7,6,6,6,3,3,3,3,1,1,1,3,3,3,2,6,6,5,1,1,5,5,2,2,2,4,5,2,5,1,6,1,4,4,3,6,4,4,3,1,6,3,1,0,5,5,3,5,5,4,1,1,5,1,4,3,1,1,1,5,6,1,0,5,5,5,0,5,3,1,2,1,1,2,3,3,4,4,3,2,2,4,2,3,3,2,2,3,4,1,4,3,2,2,2,2,1,2,1,2,2,4,2,5,2,3,5,2,3,3,1,3,1,3,4,4,3,1,16945.4,"Incorrect",20255,"Correct",8127.5,"Correct",9110.9,"Correct",7349.6,"Correct",3,6,4,5,4,6,6,4
22583378,"Other Research MSc",2,8,50,"dog","koala",160,"Yes",10,4,4,3,4,4,78,92,6,6,6,6,6,2,2,3,2,2,3,1,3,3,5,5,2,2,2,1,1,2,1,6,6,6,7,5,6,6,6,3,2,4,5,2,2,3,4,3,3,5,3,2,4,4,2,2,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,0,4,0,1,0,5,3,3,5,3,4,4,5,2,5,5,4,5,3,5,2,4,2,2,4,5,4,2,2,5,3,2,3,2,1,5,1,3,5,3,4,3,4,4,3,2,3,4,4,3,3,3,3,3,3,4,5733,"Correct",12945,"Incorrect",9761,"Incorrect",6249,"Incorrect",5598,"Correct",3,7,5,7,2,5,4,7
22660228,"Other Research MSc",4,5,83,"dog","platypus",160,"No",0,4,4,2,3,4,42,27,7,7,7,7,7,3,3,2,2,3,2,2,2,2,4,3,2,2,1,1,3,2,2,7,6,4,3,2,6,5,6,2,4,4,2,3,1,5,6,4,4,3,6,3,3,3,4,6,6,4,4,4,5,6,4,4,1,1,6,4,6,6,6,2,4,0,0,0,3,1,4,3,3,1,1,3,1,3,2,1,2,1,3,4,1,1,3,1,3,3,2,3,3,1,1,2,1,1,1,1,1,1,1,3,2,2,2,1,1,1,2,3,3,2,1,1,1,1,1,10575,"Correct",64359,"Correct",12319,"Correct",7561,"Incorrect",17618,"Incorrect",3,3,3,3,3,3,3,3
25626811,"Health MSc",6,6,70,"cat","kangaroo",166,"Yes",7,3,4,3,4,3,49,100,6,6,4,4,6,4,4,4,4,4,4,2,5,5,5,5,4,4,5,6,5,4,4,5,5,6,6,7,7,7,4,5,6,5,5,4,3,4,5,0,5,6,3,4,6,4,4,6,5,5,3,3,3,3,3,2,2,2,3,5,5,5,3,1,2,0,6,0,2,2,5,2,2,2,2,3,2,5,2,2,5,2,3,4,2,2,4,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5324.2,"Incorrect",10878.7,"Correct",7329.7,"Incorrect",2047.4,"Correct",6832.2,"Incorrect",5,8,5,5,3,6,7,5
26089954,"Health MSc",3,8,70,"dog","kangaroo",175,"Yes",2,2,1,2,1,1,73,73,6,7,7,7,7,2,3,2,3,2,2,1,2,2,4,3,6,5,6,5,5,6,6,6,7,7,5,5,5,5,6,6,6,6,5,6,6,5,6,6,6,5,5,5,6,6,5,7,7,5,5,4,6,5,6,5,2,3,5,4,5,5,5,3,4,0,1,2,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,4,5,5,5,4,5,5,3,4,4,3,2,1,1,3,1,1,4,1,4,3,3,4,2,1,1,4,2,3,4,1,3,1,1,2,9554,"Correct",11874,"Correct",4702,"Incorrect",9636,"Correct",3103,"Incorrect",5,8,5,7,6,5,7,7
