"Nation","dv","GDP","life.expectancy","n","region"
"Afghanistan",0.833333333333333,10414403660.6667,57.9083333333333,12,"South Asia"
"Argentina",0.883720930232558,375306222222.222,75.4155555555556,45,"Latin America & Caribbean"
"Australia",0.941644562334218,1021838534210.53,81.5863157894737,380,"East Asia & Pacific"
"Austria",0.942028985507246,388671232876.712,80.1897260273973,146,"Europe & Central Asia"
"Belgium",0.910714285714286,476927947368.421,79.7561403508772,57,"Europe & Central Asia"
"Brazil",0.882352941176471,1714780568181.82,73.6,88,"Latin America & Caribbean"
"Bulgaria",0.888888888888889,47805265917.037,72.9037037037037,27,"Europe & Central Asia"
"Canada",0.953020134228188,1517426876379.69,80.8674392935982,906,"North America"
"Chile",0.7,209284636363.636,79.5545454545454,11,"Latin America & Caribbean"
"China",1,4434487500000,74.6333333333333,12,"East Asia & Pacific"
"Colombia",0.777777777777778,282496315789.474,73.9210526315789,19,"Latin America & Caribbean"
"Croatia",0.868421052631579,60528249119.575,76.42,40,"Europe & Central Asia"
"Czechia",0.971428571428571,209744371428.571,77.3457142857143,35,"Europe & Central Asia"
"Denmark",0.930232558139535,323063977011.494,78.9103448275862,87,"Europe & Central Asia"
"Estonia",0.962962962962963,21465554359.9259,74.2851851851852,27,"Europe & Central Asia"
"Finland",0.945578231292517,250340182432.432,79.4635135135135,148,"Europe & Central Asia"
"France",0.893162393162393,2668941098039.22,81.0690196078431,255,"Europe & Central Asia"
"Germany",0.936908517350158,3379968653061.22,79.830306122449,980,"Europe & Central Asia"
"Greece",0.783783783783784,320335945945.946,79.9189189189189,37,"Europe & Central Asia"
"Hungary",0.863636363636364,130785666666.667,74.1,45,"Europe & Central Asia"
"India",0.821917808219178,1344736737500,65.71625,80,"South Asia"
"Indonesia",0.866666666666667,624009600000,67.9533333333333,15,"East Asia & Pacific"
"Ireland",0.971631205673759,255221570422.535,79.8345070422535,142,"Europe & Central Asia"
"Israel",0.961538461538462,202418740740.741,80.9296296296296,27,"Middle East & North Africa"
"Italy",0.943820224719101,2184661290322.58,81.5193548387097,93,"Europe & Central Asia"
"Japan",0.95,4994435500000,82.76,20,"East Asia & Pacific"
"Latvia",1,28920416392.7273,71.6636363636364,11,"Europe & Central Asia"
"Lithuania",0.9,40293901960.6,72.3,10,"Europe & Central Asia"
"Malaysia",0.935483870967742,232371258064.516,73.9129032258064,31,"East Asia & Pacific"
"Mexico",0.866666666666667,1072700833333.33,75.9089743589744,78,"Latin America & Caribbean"
"Netherlands",0.952,861555418972.332,80.4719367588933,253,"Europe & Central Asia"
"New Zealand",0.93,140144200000,80.346,100,"East Asia & Pacific"
"Norway",0.984615384615385,407920584615.385,80.6646153846154,65,"Europe & Central Asia"
"Pakistan",0.833333333333333,181405583333.333,64.8833333333333,12,"South Asia"
"Peru",0.9,134870300000,74.18,10,"Latin America & Caribbean"
"Philippines",0.772727272727273,183124590909.091,67.65,44,"East Asia & Pacific"
"Poland",0.909090909090909,449414674157.303,75.685393258427,89,"Europe & Central Asia"
"Portugal",0.957446808510638,241587021276.596,79.131914893617,47,"Europe & Central Asia"
"Republic of Korea",0.833333333333333,1194307666666.67,80.9666666666667,15,"East Asia & Pacific"
"Romania",0.830769230769231,169897027777.778,73.2208333333333,72,"Europe & Central Asia"
"Russian Federation",0.738636363636364,1395045626373.63,67.8197802197802,91,"Europe & Central Asia"
"Singapore",0.846153846153846,200148400000,81.4707692307692,65,"East Asia & Pacific"
"Slovakia",1,90115715478.5455,74.7818181818182,11,"Europe & Central Asia"
"Slovenia",0.933333333333333,49753741873.5333,79.2266666666667,15,"Europe & Central Asia"
"South Africa",0.955555555555556,322066276595.745,56.2744680851064,47,"Sub-Saharan Africa"
"Spain",0.8375,1437440813953.49,81.4662790697674,86,"Europe & Central Asia"
"Sweden",0.958041958041958,474023445945.946,81.0189189189189,148,"Europe & Central Asia"
"Switzerland",0.945945945945946,509379608108.108,81.8905405405405,74,"Europe & Central Asia"
"Thailand",0.909090909090909,288819636363.636,73.5181818181818,11,"East Asia & Pacific"
"Turkey",0.883720930232558,727197977272.727,73.7590909090909,44,"Europe & Central Asia"
"Ukraine",1,140075289949.083,69.2333333333333,12,"Europe & Central Asia"
"United Arab Emirates",0.833333333333333,2.91566e+11,75.9916666666667,12,"Middle East & North Africa"
"United Kingdom of Great Britain and Northern Ireland",0.956037514654162,2779300017492.71,79.8089795918367,1715,"Europe & Central Asia"
"United States of America",0.954386984311447,14817787196882.2,78.3368937644342,6928,"North America"
"Venezuela (Bolivarian Republic of)",0.7,306733272727.273,73.5909090909091,11,"Latin America & Caribbean"
NA,0.925925925925926,NA,NA,28,NA
